STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2015,,79.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2016,,79.8,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2017,,79.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2018,,80.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2019,,80.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2020,,79.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2021,,77.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2022,,80.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AL,Albania,2024,,81.8,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AM,Armenia,2015,,77.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AM,Armenia,2016,,78.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AM,Armenia,2017,,78.5,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AM,Armenia,2018,,79.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AM,Armenia,2019,,79.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2015,,83.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2016,,83.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2017,,83.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2018,,83.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2019,,83.5,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2020,,82.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2021,,82.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2022,,82.8,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2023,,83.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AT,Austria,2024,,83.6,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AZ,Azerbaijan,2015,,77.5,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AZ,Azerbaijan,2017,,77.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AZ,Azerbaijan,2018,,78.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,AZ,Azerbaijan,2019,,78.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2015,,82.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2016,,83.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2017,,83.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2018,,83.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2019,,83.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2020,,82.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2021,,83.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2022,,83.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2023,,83.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BE,Belgium,2024,,83.7,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2015,,77.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2016,,78.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2017,,77.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2018,,78.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2019,,78.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2020,,76.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2021,,74.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2022,,77.3,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2023,,79.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BG,Bulgaria,2024,,78.8,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BY,Belarus,2015,,78.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BY,Belarus,2016,,78.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BY,Belarus,2017,,78.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,BY,Belarus,2018,,78.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2015,,84.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2016,,84.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2017,,84.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2018,,85.0,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2019,,85.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2020,,84.4,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2021,,85.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2022,,84.8,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2023,,85.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CH,Switzerland,2024,,85.2,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2015,,82.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2016,,84.1,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2017,,83.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2018,,83.9,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2019,,83.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2020,,83.5,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2021,,82.6,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2022,,82.7,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2023,,84.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CY,Cyprus,2024,,84.8,,b,break in time series,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CZ,Czechia,2015,,80.8,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CZ,Czechia,2016,,81.3,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CZ,Czechia,2017,,81.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CZ,Czechia,2018,,81.2,,,,,
dataflow,ESTAT:DEMO_MLEXPEC$DEFAULTVIEW(1.0),Life expectancy by age and sex,A,Annual,YR,Year,F,Females,Y1,1 year,CZ,Czechia,2019,,81.4,,,,,
